Date.td,expiry,totalOI,totalOIdiff,totalOI_itm,totalOIdiff_itm,OI_diff_pct,ITM_pct,OI_ITM_diff_pct
2023-08-02,2023-08-04,32192823,7387393,13860981,2942285,0.229,0.431,0.212
2023-08-02,2023-08-11,25978803,6480915,12270842,4295176,0.249,0.472,0.35
2023-08-02,2023-08-18,153557344,21710106,22600150,4904411,0.141,0.147,0.217
2023-08-02,2023-08-25,61306691,7445743,29578595,3990147,0.121,0.482,0.135
2023-08-02,2023-09-01,49392669,8800640,14977201,2970747,0.178,0.303,0.198
2023-08-02,2023-09-08,15851170,5103577,2292766,1154644,0.322,0.145,0.504
2023-08-02,2023-09-15,375111956,41763372,33459483,3970231,0.111,0.089,0.119
2023-08-02,2023-09-29,126881160,8243050,12646398,629837,0.065,0.1,0.05
2023-08-02,2023-10-20,237400679,22527192,31833525,4836709,0.095,0.134,0.152
2023-08-02,2023-11-17,128172242,11252979,10894387,292573.000000001,0.088,0.085,0.027
2023-08-02,2023-12-15,358145284,17967491,38173921,1763089,0.05,0.107,0.046
2023-08-01,2023-08-04,24805430,-7314810,8823005,-1372904,-0.29488745004622,0.355688452084886,-0.155605034792568
2023-08-01,2023-08-11,19497888,-1195087,6743848,586786,-0.0612931513402887,0.345875819986247,0.0870105613293776
2023-08-01,2023-08-18,131847238,-20521789,15529820,-934264,-0.155648228292807,0.117786464362644,-0.0601593579320301
2023-08-01,2023-08-25,53860948,-1362745,24748712,528505,-0.0253011699682672,0.459492692182098,0.0213548486886914
2023-08-01,2023-09-01,40592029,5399882,11392294,5745685,0.133028137125148,0.280653475094827,0.504348377947409
2023-08-01,2023-09-08,10747593,8593407,1020149,233472,0.79956572601884,0.094918834384592,0.22886068603704
2023-08-01,2023-09-15,333348584,-18521528,29489252,1958459,-0.0555620419254578,0.0884637086084038,0.0664126373907348
2023-08-01,2023-09-29,118638110,-3334315,9771365,-189014.000000001,-0.0281049234516632,0.0823627837631601,-0.0193436638586319
2023-08-01,2023-10-20,214873487,13270579,26996816,8335225,0.0617599648299094,0.125640517017346,0.308748446483467
2023-08-01,2023-11-17,116919263,-1072255,10601814,-326506.000000001,-0.00917090112003187,0.0906763669900998,-0.0307971824444383
2023-08-01,2023-12-15,340177793,623340.99999999,34237798,1426718,0.00183239768387818,0.100646775611246,0.0416708457710977
2023-08-03,2023-08-04,80136866,47944043,65461315,36971499,0.598,0.817,0.565
2023-08-03,2023-08-11,67989271,42010468,41357682,21208270,0.618,0.608,0.513
2023-08-03,2023-08-18,323982367,170425023,166835146,85167375,0.526,0.515,0.51
2023-08-03,2023-08-25,101232484,39925793,65493904,21574138,0.394,0.647,0.329
2023-08-03,2023-09-01,93412562,44019893,42020588,17223877,0.471,0.45,0.41
2023-08-03,2023-09-08,29018635,13167465,6430367,3039975,0.454,0.222,0.473
2023-08-03,2023-09-15,626670099,251558143,146678536,51021333,0.401,0.234,0.348
2023-08-03,2023-09-29,193848400,66967240,73346411,25204433,0.345,0.378,0.344
2023-08-03,2023-10-20,353205511,115804832,105264177,34583423,0.328,0.298,0.329
2023-08-03,2023-11-17,180589816,52417574,45053292,15115723,0.29,0.249,0.336
2023-08-03,2023-12-15,461771571,103626287,99709525,21036536,0.224,0.216,0.211
