Date.td,expiry,totalOI,totalOIdiff,totalOI_itm,totalOIdiff_itm,OI_diff_pct,ITM_pct,OI_ITM_diff_pct
2023-08-02,2023-08-04,32192823,7387393,13860981,2942285,0.229,0.431,0.212
2023-08-02,2023-08-11,25978803,6480915,12270842,4295176,0.249,0.472,0.35
2023-08-02,2023-08-18,153557344,21710106,22600150,4904411,0.141,0.147,0.217
2023-08-02,2023-08-25,61306691,7445743,29578595,3990147,0.121,0.482,0.135
2023-08-02,2023-09-01,49392669,8800640,14977201,2970747,0.178,0.303,0.198
2023-08-02,2023-09-08,15851170,5103577,2292766,1154644,0.322,0.145,0.504
2023-08-02,2023-09-15,375111956,41763372,33459483,3970231,0.111,0.089,0.119
2023-08-02,2023-09-29,126881160,8243050,12646398,629837,0.065,0.1,0.05
2023-08-02,2023-10-20,237400679,22527192,31833525,4836709,0.095,0.134,0.152
2023-08-02,2023-11-17,128172242,11252979,10894387,292573.000000001,0.088,0.085,0.027
2023-08-02,2023-12-15,358145284,17967491,38173921,1763089,0.05,0.107,0.046
