expiry,totalOI,totalOIdiff,totalOI_itm,totalOIdiff_itm,ITM_pct,OI_diff_pct,OI_ITM_diff_pct,Date.td
2023-08-04,24805430,-7314810,8823005,-1372904,0.355688452084886,-0.29488745004622,-0.155605034792568,2023-08-01
2023-08-11,19497888,-1195087,6743848,586786,0.345875819986247,-0.0612931513402887,0.0870105613293776,2023-08-01
2023-08-18,131847238,-20521789,15529820,-934264,0.117786464362644,-0.155648228292807,-0.0601593579320301,2023-08-01
2023-08-25,53860948,-1362745,24748712,528505,0.459492692182098,-0.0253011699682672,0.0213548486886914,2023-08-01
2023-09-01,40592029,5399882,11392294,5745685,0.280653475094827,0.133028137125148,0.504348377947409,2023-08-01
2023-09-08,10747593,8593407,1020149,233472,0.094918834384592,0.79956572601884,0.22886068603704,2023-08-01
2023-09-15,333348584,-18521528,29489252,1958459,0.0884637086084038,-0.0555620419254578,0.0664126373907348,2023-08-01
2023-09-29,118638110,-3334315,9771365,-189014.000000001,0.0823627837631601,-0.0281049234516632,-0.0193436638586319,2023-08-01
2023-10-20,214873487,13270579,26996816,8335225,0.125640517017346,0.0617599648299094,0.308748446483467,2023-08-01
2023-11-17,116919263,-1072255,10601814,-326506.000000001,0.0906763669900998,-0.00917090112003187,-0.0307971824444383,2023-08-01
2023-12-15,340177793,623340.99999999,34237798,1426718,0.100646775611246,0.00183239768387818,0.0416708457710977,2023-08-01
