Watch,strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry,stkClose,diff_oi,diff_oi_d,totalOI,totalOIdiff,OI_pct,cum_sep_OI,pct
699,400,13736,13737,408632264,410736300,2026-01-05,2026-12-18,683.17,1,2104036,2087828623,-18132763,19.6728934298167,19.6728934298167,0.0051225956897406
684.25,550,12632,12629,171934152,169544325,2026-01-05,2026-01-16,683.17,-3,-2389827.00000003,1893286815,-26287558,8.95502591877502,8.95502591877502,-0.0140955882775789
683.28,600,18941,18849,159843099,156974472,2026-01-05,2026-01-16,683.17,-92,-2868627,1893286815,-26287558,8.29110892001854,17.2461348387936,-0.0182744809614649
685.47,570,11160,11160,127648080,128864520,2026-01-05,2026-01-16,683.17,0,1216440,1893286815,-26287558,6.80639187782016,24.0525267166137,0.00943968130250281
685.01,650,29571,29503,103853352,103290003,2026-01-05,2026-01-16,683.17,-68,-563349,1893286815,-26287558,5.45559194632642,29.5081186629401,-0.00545405154068976
750.1,730,47905,47983,95810000,96445830,2026-01-05,2026-09-18,683.17,78,635830,616790460,-7688638.99999999,15.6367253151094,15.6367253151094,0.0065926126614287
711.61,570,6132,6132,88840416,86835252,2026-01-05,2026-12-18,683.17,0,-2005163.99999997,2087828623,-18132763,4.15911780513989,23.8320112349566,-0.0230915895770069
695.9,650,17540,17539,79982400,80504010,2026-01-05,2026-03-20,683.17,-1,521610,1166791798,-16219966,6.89960369433451,6.89960369433451,0.00647930457128782
684.23,640,16668,16675,74755980,73753525,2026-01-05,2026-01-16,683.17,7,-1002455,1893286815,-26287558,3.89552836979959,33.4036470327397,-0.0135919605198531
762.53,750,55010,55152,70192760,69105456,2026-01-05,2026-09-18,683.17,142,-1087304,616790460,-7688638.99999999,11.2040409963539,26.8407663114634,-0.0157339819883397
709.69,550,4286,4283,69296048,68395227,2026-01-05,2026-12-18,683.17,-3,-900821,2087828623,-18132763,3.27590235360041,27.107913588557,-0.0131708167296528
704.99,520,3686,3686,70376798,68187314,2026-01-05,2026-12-18,683.17,0,-2189484,2087828623,-18132763,3.26594401709187,30.3738576056489,-0.0321098437753392
770.37,750,33404,33366,69714148,67966542,2026-01-05,2026-12-18,683.17,-38,-1747606,2087828623,-18132763,3.25536977754136,33.6292273831903,-0.0257127396594636
682.59,580,6536,6520,67686816,66888680,2026-01-05,2026-01-16,683.17,-16,-798135.999999993,1893286815,-26287558,3.53293961961067,36.9365866523504,-0.0119323030444014
683.96,530,4334,4331,67523720,66680076,2026-01-05,2026-01-16,683.17,-3,-843644,1893286815,-26287558,3.52192153199989,40.4585081843503,-0.012652115153558
704.75,515,3455,3455,65558625,65558625,2026-01-05,2026-09-18,683.17,0,0,616790460,-7688638.99999999,10.6289946507927,37.4697609622561,0
691.48,620,9064,9029,64970752,64539292,2026-01-05,2026-03-20,683.17,-35,-431459.999999993,1166791798,-16219966,5.53134604739483,12.4309497417293,-0.00668522982867541
715.82,540,3545,3545,62328190,62328190,2026-01-05,2026-12-18,683.17,0,0,2087828623,-18132763,2.98531159662141,36.6145389798117,0
699.35,670,20001,19774,58782939,58036690,2026-01-05,2026-03-20,683.17,-227,-746249,1166791798,-16219966,4.97403993578639,17.4049896775157,-0.0128582281312046
718.45,600,4834,4830,57041200,57211350,2026-01-05,2026-12-18,683.17,-4,170150,2087828623,-18132763,2.74023209423162,39.3547710740433,0.00297406021707231
683.67,575,5006,5000,54505328,54335000,2026-01-05,2026-01-16,683.17,-6,-170328,1893286815,-26287558,2.86987684958869,43.328385033939,-0.00313477500690163
682.39,540,3633,3630,52860150,51687570,2026-01-05,2026-01-16,683.17,-3,-1172580.00000001,1893286815,-26287558,2.73004436467277,46.0584293986118,-0.0226859184906547
705.55,500,2374,2374,48797570,48797570,2026-01-05,2026-12-18,683.17,0,0,2087828623,-18132763,2.3372402055626,41.6920112796059,0
707.07,510,2470,2470,48676290,48676290,2026-01-05,2026-12-18,683.17,0,0,2087828623,-18132763,2.33143129966563,44.0234425792715,0
705.47,515,2477,2476,47546015,47160372,2026-01-05,2026-12-18,683.17,-1,-385643,2087828623,-18132763,2.25882390347898,46.2822664827505,-0.00817726798253415
689.95,600,5211,5199,47164761,46765005,2026-01-05,2026-03-20,683.17,-12,-399756.000000008,1166791798,-16219966,4.00799912033663,21.4129887978524,-0.0085481868332957
686.69,485,2297,2297,46328193,46328193,2026-01-05,2026-01-16,683.17,0,0,1893286815,-26287558,2.44697172308782,48.5054011216996,0
690.87,595,4764,4757,45824916,45605359,2026-01-05,2026-03-20,683.17,-7,-219557,1166791798,-16219966,3.90861155162148,25.3216003494738,-0.00481428070766859
685.75,525,2810,2810,46078380,45170750,2026-01-05,2026-01-16,683.17,0,-907630,1893286815,-26287558,2.38583766823517,50.8912387899347,-0.0200933125972006
686.73,535,2970,2970,45063810,45063810,2026-01-05,2026-01-16,683.17,0,0,1893286815,-26287558,2.38018929002049,53.2714280799552,0
703.53,495,2153,2153,45439065,44896509,2026-01-05,2026-12-18,683.17,0,-542556,2087828623,-18132763,2.15039244626737,48.4326589290179,-0.0120845921450151
684.5,520,2701,2701,44933836,44431450,2026-01-05,2026-01-16,683.17,0,-502386.000000008,1893286815,-26287558,2.34678917362027,55.6182172535755,-0.0113069908814591
686.76,670,26333,26371,43712780,44197796,2026-01-05,2026-01-16,683.17,38,485015.999999993,1893286815,-26287558,2.33444799012135,57.9526652436968,0.0109737598680258
685.49,545,3143,3143,44156007,44156007,2026-01-05,2026-01-16,683.17,0,0,1893286815,-26287558,2.33224077039801,60.2849060140949,0
