Watch,strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry,stkClose,diff_oi,diff_oi_d,totalOI,totalOIdiff,OI_pct,cum_sep_OI,pct
634.07,640,152706,152706,90554658,90554658,2025-12-26,2026-03-20,690.38,0,0,429293910,0,21.0938603811081,21.0938603811081,0
638.55,645,126027,126027,81287415,81287415,2025-12-26,2026-03-20,690.38,0,0,429293910,0,18.9351428255761,40.0290032066842,0
687.3,760,9042,9042,65735340,65735340,2025-12-26,2026-12-18,690.38,0,0,641936461,0,10.2401630057901,10.2401630057901,0
684.35,750,7165,7165,47038225,47038225,2025-12-26,2026-12-18,690.38,0,0,641936461,0,7.32755153473048,17.5677145405206,0
674.32,735,6626,6626,40206568,40206568,2025-12-26,2026-12-18,690.38,0,0,641936461,0,6.26332517977975,23.8310397203003,0
654.45,685,11355,11355,34689525,34689525,2025-12-26,2026-09-18,690.38,0,0,299497056,0,11.5825929854883,11.5825929854883,0
664.58,710,7040,7040,31975680,31975680,2025-12-26,2026-12-18,690.38,0,0,641936461,0,4.98112849832345,28.8121682186238,0
642.88,650,40761,40761,29021832,29021832,2025-12-26,2026-03-20,690.38,0,0,429293910,0,6.76036424555848,46.7893674522427,0
603,625,11993,11993,26384600,26384600,2025-12-26,2026-12-18,690.38,0,0,641936461,0,4.11015756277474,32.9223257813985,0
598.8,620,11982,11982,25401840,25401840,2025-12-26,2026-12-18,690.38,0,0,641936461,0,3.95706452947529,36.8793903108738,0
659.55,670,19599,19599,20480955,20480955,2025-12-26,2026-03-20,690.38,0,0,429293910,0,4.77084685408186,51.5602143063245,0
607.07,630,8779,8779,20130247,20130247,2025-12-26,2026-12-18,690.38,0,0,641936461,0,3.13586284982806,40.0152531607018,0
667.32,680,15525,15525,19685700,19685700,2025-12-26,2026-03-20,690.38,0,0,429293910,0,4.58559964197955,56.1458139483041,0
586.59,600,14675,14675,19679175,19679175,2025-12-26,2026-09-18,690.38,0,0,299497056,0,6.57074071539455,18.1533337008829,0
645.02,680,5513,5513,19284474,19284474,2025-12-26,2026-12-18,690.38,0,0,641936461,0,3.00410946746332,43.0193626281652,0
618.29,645,7097,7097,18956087,18956087,2025-12-26,2026-12-18,690.38,0,0,641936461,0,2.95295378151141,45.9723164096766,0
670.8,685,13138,13138,18655960,18655960,2025-12-26,2026-03-20,690.38,0,0,429293910,0,4.3457313428928,60.4915452911969,0
582.12,600,10148,10148,18144624,18144624,2025-12-26,2026-12-18,690.38,0,0,641936461,0,2.82654516488042,48.798861574557,0
622.77,650,5717,5717,15567391,15567391,2025-12-26,2026-12-18,690.38,0,0,641936461,0,2.42506726845665,51.2239288430136,0
614.95,640,6164,6164,15440820,15440820,2025-12-26,2026-12-18,690.38,0,0,641936461,0,2.40535020801693,53.6292790510306,0
651.41,660,17851,17851,15334009,15334009,2025-12-26,2026-03-20,690.38,0,0,429293910,0,3.57191393653826,64.0634592277351,0
676.25,680,40768,40768,15288000,15288000,2025-12-26,2026-01-16,690.38,0,0,147053251,0,10.3962339465722,10.3962339465722,0
636.71,640,46379,46379,15258691,15258691,2025-12-26,2026-02-20,690.38,0,0,208161343,0,7.33022317212855,7.33022317212855,0
651.15,680,5229,5229,15085665,15085665,2025-12-26,2026-09-18,690.38,0,0,299497056,0,5.0369994288024,23.1903331296853,0
663.22,670,22127,22127,15002106,15002106,2025-12-26,2026-02-20,690.38,0,0,208161343,0,7.20696061227853,14.5371837844071,0
590.44,610,7668,7668,14998608,14998608,2025-12-26,2026-12-18,690.38,0,0,641936461,0,2.3364630163919,55.9657420674225,0
641.5,675,4418,4418,14800300,14800300,2025-12-26,2026-12-18,690.38,0,0,641936461,0,2.3055708624097,58.2713129298322,0
630.45,660,4940,4940,14597700,14597700,2025-12-26,2026-12-18,690.38,0,0,641936461,0,2.27401010643014,60.5453230362623,0
673.89,680,23732,23732,14500252,14500252,2025-12-26,2026-01-30,690.38,0,0,103571890,0,14.0001809371249,14.0001809371249,0
596.92,600,45824,45824,14113792,14113792,2025-12-26,2026-03-20,690.38,0,0,429293910,0,3.2876758023425,67.3511350300776,0
620.33,640,7147,7147,14058149,14058149,2025-12-26,2026-09-18,690.38,0,0,299497056,0,4.69391892787087,27.8842520575561,0
637.88,670,4311,4311,13846932,13846932,2025-12-26,2026-12-18,690.38,0,0,641936461,0,2.15705647540715,62.7023795116695,0
645.83,650,32814,32814,13683438,13683438,2025-12-26,2026-02-20,690.38,0,0,208161343,0,6.57347699759989,21.110660782007,0
612.21,630,7613,7613,13543527,13543527,2025-12-26,2026-09-18,690.38,0,0,299497056,0,4.52209019376805,32.4063422513242,0
658.1,700,3033,3033,12708270,12708270,2025-12-26,2026-12-18,690.38,0,0,641936461,0,1.97967723786919,64.6820567495387,0
648.44,685,3260,3260,11918560,11918560,2025-12-26,2026-12-18,690.38,0,0,641936461,0,1.85665727437158,66.5387140239102,0
569.04,580,10506,10506,11514576,11514576,2025-12-26,2026-09-18,690.38,0,0,299497056,0,3.84463745780526,36.2509797091294,0
671.01,680,12551,12551,11283349,11283349,2025-12-26,2026-02-20,690.38,0,0,208161343,0,5.42048241877456,26.5311432007815,0
538.44,550,9449,9449,10923044,10923044,2025-12-26,2026-12-18,690.38,0,0,641936461,0,1.70157712851895,68.2402911524292,0
654.78,660,20804,20804,10859688,10859688,2025-12-26,2026-02-20,690.38,0,0,208161343,0,5.21695711772959,31.7481003185111,0
511.15,520,11769,11769,10415565,10415565,2025-12-26,2026-12-18,690.38,0,0,641936461,0,1.62252273126452,69.8628138836937,0
578.9,580,91923,91923,10111530,10111530,2025-12-26,2026-02-20,690.38,0,0,208161343,0,4.85754456340148,36.6056448819126,0
667.74,670,44722,44722,10107172,10107172,2025-12-26,2026-01-16,690.38,0,0,147053251,0,6.87313740517032,17.2693713517425,0
635.77,660,4121,4121,9985183,9985183,2025-12-26,2026-09-18,690.38,0,0,299497056,0,3.33398369031047,39.5849633994399,0
606.4,610,27104,27104,9757440,9757440,2025-12-26,2026-03-20,690.38,0,0,429293910,0,2.27290436055802,69.6240393906357,0
628.37,650,4458,4458,9642654,9642654,2025-12-26,2026-09-18,690.38,0,0,299497056,0,3.21961562119662,42.8045790206365,0
674.21,690,6094,6094,9622426,9622426,2025-12-26,2026-03-20,690.38,0,0,429293910,0,2.24145411240518,71.8654935030408,0
667.23,675,12174,12174,9459198,9459198,2025-12-26,2026-02-20,690.38,0,0,208161343,0,4.5441664930073,41.1498113749199,0
650.29,655,20009,20009,9424239,9424239,2025-12-26,2026-02-20,690.38,0,0,208161343,0,4.52737230850783,45.6771836834277,0
657.9,690,2891,2891,9280110,9280110,2025-12-26,2026-09-18,690.38,0,0,299497056,0,3.09856468171761,45.9031437023541,0
674.67,685,8799,8799,9089367,9089367,2025-12-26,2026-02-20,690.38,0,0,208161343,0,4.36650094057089,50.0436846239986,0
529.42,530,156492,156492,9076536,9076536,2025-12-26,2026-02-20,690.38,0,0,208161343,0,4.36033697188435,54.404021595883,0
680.92,690,9944,9944,9029152,9029152,2025-12-26,2026-01-30,690.38,0,0,103571890,0,8.71776309189685,22.7179440290218,0
671.6,725,1671,1671,8923140,8923140,2025-12-26,2026-12-18,690.38,0,0,641936461,0,1.39003476856567,71.2528486522594,0
616.31,635,4610,4610,8616090,8616090,2025-12-26,2026-09-18,690.38,0,0,299497056,0,2.8768529864948,48.7799966888489,0
524.46,525,156104,156104,8429616,8429616,2025-12-26,2026-02-20,690.38,0,0,208161343,0,4.04955880785223,58.4535804037352,0
