Watch,strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry,stkClose,diff_oi,diff_oi_d,totalOI,totalOIdiff,OI_pct,cum_sep_OI,pct
444.02,440,96135,99316,53451060,39925032,2023-08-08,2023-09-15,450.71,3181,-13526028,560989430,-200543013,7.11689558928053,7.11689558928053,-0.338785652069108
432.53,430,148464,149615,53595504,37852595,2023-08-08,2023-09-15,450.71,1151,-15742909,560989430,-200543013,6.74747026873572,13.8643658580163,-0.415900389392062
450.15,445,67169,70688,47085469,36404320,2023-08-08,2023-09-15,450.71,3519,-10681149,560989430,-200543013,6.48930586802678,20.353671726043,-0.293403337845618
453.21,450,106442,110386,60778382,35433906,2023-08-08,2023-08-18,450.71,3944,-25344476,231441865,-174474179,15.3100676059623,15.3100676059623,-0.715260575562852
434.85,430,67176,70465,41246064,34175525,2023-08-08,2023-10-20,450.71,3289,-7070538.99999999,374395104,-66220249,9.12819762728521,9.12819762728521,-0.206888965129285
437.84,430,44326,43304,41178854,33950336,2023-08-08,2023-12-15,450.71,-1022,-7228518,454663704,-61357874,7.46713135473862,7.46713135473862,-0.21291447601579
456.65,450,49306,50796,44030258,33779340,2023-08-08,2023-09-15,450.71,1490,-10250918,560989430,-200543013,6.02138617834564,26.3750579043887,-0.303467089647104
462.77,450,26203,26377,39356906,33683429,2023-08-08,2023-12-15,450.71,174,-5673477,454663704,-61357874,7.40842708658354,14.8755584413222,-0.168435256398629
458.01,450,40916,41358,41857068,33127758,2023-08-08,2023-09-29,450.71,442,-8729310,223880463,-64587149,14.7970740975286,14.7970740975286,-0.26350440014685
460.57,455,59400,59278,51975000,33017846,2023-08-08,2023-08-18,450.71,-122,-18957154,231441865,-174474179,14.2661510267384,29.5762186327007,-0.57414871945311
459.45,450,31465,31721,36719655,29976345,2023-08-08,2023-10-20,450.71,256,-6743310,374395104,-66220249,8.00660710563138,17.1348047329166,-0.224954376525891
439.38,435,65646,65730,38074680,28789740,2023-08-08,2023-09-29,450.71,84,-9284940,223880463,-64587149,12.8594248976517,27.6564989951803,-0.32250864370432
446.75,440,37634,39788,31574926,26856900,2023-08-08,2023-10-20,450.71,2154,-4718026,374395104,-66220249,7.17341111383764,24.3082158467542,-0.175672769381425
440.68,435,46304,46331,33107360,26316008,2023-08-08,2023-10-20,450.71,27,-6791352.00000001,374395104,-66220249,7.0289402075087,31.3371560542629,-0.25806923299309
404.13,400,58767,62690,29089665,25890970,2023-08-08,2023-12-15,450.71,3923,-3198695,454663704,-61357874,5.69453197434031,20.5700904156625,-0.123544811183204
423.58,420,69634,69360,32101274,24830880,2023-08-08,2023-10-20,450.71,-274,-7270394,374395104,-66220249,6.63226621681463,37.9694222710776,-0.292796469557261
476.96,460,12478,12481,24456880,21167776,2023-08-08,2023-12-15,450.71,3,-3289104,454663704,-61357874,4.65569954535012,25.2257899610126,-0.155382596641234
415.08,410,40574,41308,24425548,20984464,2023-08-08,2023-12-15,450.71,734,-3441084,454663704,-61357874,4.61538139406879,29.8411713550814,-0.163982458641784
443.83,435,22995,23032,24029775,20337256,2023-08-08,2023-12-15,450.71,37,-3692519,454663704,-61357874,4.4730326659196,34.314204021001,-0.181564268060548
452.95,445,25430,25385,25201130,20181075,2023-08-08,2023-10-20,450.71,-45,-5020055,374395104,-66220249,5.39031487975868,43.3597371508362,-0.248750624037619
432.1,425,27498,27990,23098320,19872900,2023-08-08,2023-12-15,450.71,492,-3225420,454663704,-61357874,4.37090091537195,38.6851049363729,-0.162302431955075
446.85,445,101894,104394,36681840,19312890,2023-08-08,2023-08-18,450.71,2500,-17368950,231441865,-174474179,8.344596600965,37.9208152336657,-0.899344945267125
427.06,425,91941,92187,27214536,18990522,2023-08-08,2023-09-15,450.71,246,-8224014,560989430,-200543013,3.38518356754066,29.7602414719293,-0.433058870103729
473.76,460,13508,13508,22558360,18587008,2023-08-08,2023-10-20,450.71,0,-3971352,374395104,-66220249,4.96454355343279,48.324280704269,-0.213662790697674
463.67,455,21091,20925,24402287,18141975,2023-08-08,2023-09-15,450.71,-166,-6260312,560989430,-200543013,3.23392456788357,32.9941660398129,-0.345073345101622
445.3,440,33053,33742,22905729,17883260,2023-08-08,2023-09-29,450.71,689,-5022469,223880463,-64587149,7.98786091486688,35.6443599100472,-0.280847507669183
438.18,435,54112,54035,24242176,17183130,2023-08-08,2023-09-15,450.71,-77,-7059046,560989430,-200543013,3.06300423521349,36.0571702750264,-0.410812581875363
429.16,425,40570,39698,21623810,16514368,2023-08-08,2023-10-20,450.71,-872,-5109442,374395104,-66220249,4.41094657049789,52.7352272747669,-0.309393735200766
471.38,460,13949,14027,20170254,15962726,2023-08-08,2023-09-15,450.71,78,-4207528,560989430,-200543013,2.84545931640815,38.9026295914346,-0.263584553164666
412.69,410,57408,59272,20150208,15944168,2023-08-08,2023-10-20,450.71,1864,-4206040,374395104,-66220249,4.25864757034857,56.9938748451155,-0.263798023201963
449.94,440,14129,15404,16658091,15311576,2023-08-08,2023-12-15,450.71,1275,-1346515,454663704,-61357874,3.36767062452823,42.0527755609012,-0.0879409800793857
468.12,455,11989,11519,18822730,15112928,2023-08-08,2023-11-17,450.71,-470,-3709802,188201271,-23914286,8.03019444007899,8.03019444007899,-0.245472088532414
426.35,420,23665,23625,17748750,15001875,2023-08-08,2023-12-15,450.71,-40,-2746875,454663704,-61357874,3.29955412495386,45.352329685855,-0.183102112235971
466.38,455,13038,13103,18344466,14911214,2023-08-08,2023-10-20,450.71,65,-3433252,374395104,-66220249,3.98274812909947,60.976622974215,-0.230246309924866
465.2,456,16407,16135,19754028,14844200,2023-08-08,2023-09-15,450.71,-272,-4909828,560989430,-200543013,2.64607481107086,41.5487044025054,-0.330757332830331
430.35,428,61977,61948,20700318,14557780,2023-08-08,2023-09-15,450.71,-29,-6142538,560989430,-200543013,2.59501859063548,44.1437229931409,-0.421941944444826
418.14,415,45280,45356,18247840,14241784,2023-08-08,2023-10-20,450.71,76,-4006056,374395104,-66220249,3.80394504304202,64.780568017257,-0.281288917174983
451.51,445,21137,21238,17755080,13825938,2023-08-08,2023-09-29,450.71,101,-3929142,223880463,-64587149,6.17558933670778,41.819949246755,-0.284186288120198
400.84,400,153453,162727,18874719,13669068,2023-08-08,2023-09-15,450.71,9274,-5205651,560989430,-200543013,2.43659991953859,46.5803229126795,-0.380834377296243
455.36,449,19369,21025,16889768,13371900,2023-08-08,2023-09-15,450.71,1656,-3517868,560989430,-200543013,2.38362779847742,48.9639507111569,-0.263079143577203
459.4,452,17161,17798,16937907,13170520,2023-08-08,2023-09-15,450.71,637,-3767386.99999999,560989430,-200543013,2.34773050893312,51.31168122009,-0.286046944236066
422.57,420,50886,50699,17810100,13029643,2023-08-08,2023-09-29,450.71,-187,-4780457,223880463,-64587149,5.81991069046521,47.6398599372202,-0.366890865697548
456.34,445,11030,11147,14669900,12640698,2023-08-08,2023-12-15,450.71,117,-2029202,454663704,-61357874,2.78023028642726,48.1325599722823,-0.160529268241358
462.34,454,14031,14378,15167511,11991252,2023-08-08,2023-09-15,450.71,347,-3176259,560989430,-200543013,2.13751834860775,53.4491995686978,-0.264881348503059
429.27,427,51758,51825,16924866,11764275,2023-08-08,2023-09-15,450.71,67,-5160591,560989430,-200543013,2.09705822799549,55.5462577966932,-0.43866630115328
421.66,420,69573,69325,16975812,11507950,2023-08-08,2023-09-15,450.71,-248,-5467862,560989430,-200543013,2.05136663626621,57.5976244329595,-0.475137796045343
475.36,460,6154,7432,11187972,11415552,2023-08-08,2023-11-17,450.71,1278,227579.999999998,188201271,-23914286,6.06560834543992,14.0958027855189,0.0199359610468244
468.6,458,10312,10508,13972760,11138480,2023-08-08,2023-09-15,450.71,196,-2834280,560989430,-200543013,1.98550621533101,59.5831306482905,-0.254458418024722
454.71,445,10491,11295,12347907,10967445,2023-08-08,2023-11-17,450.71,804,-1380462,188201271,-23914286,5.82750846565749,19.9233112511764,-0.125869060660892
462.24,456,17442,17453,17005950,10890672,2023-08-08,2023-08-18,450.71,11,-6115278,231441865,-174474179,4.70557563127138,42.6263908649371,-0.561515212284421
461.25,450,9296,9638,12503120,10842750,2023-08-08,2023-11-17,450.71,342,-1660370,188201271,-23914286,5.76125227124529,25.6845635224217,-0.153131816190542
411.16,410,89269,90241,15175730,10467956,2023-08-08,2023-09-15,450.71,972,-4707774,560989430,-200543013,1.86598096866103,61.4491116169515,-0.449731924742519
372.46,370,40272,42334,11598336,10414164,2023-08-08,2023-12-15,450.71,2062,-1184172,454663704,-61357874,2.29052020391758,50.4230801761999,-0.113707830988642
428.05,425,32092,33406,13478640,10188830,2023-08-08,2023-09-29,450.71,1314,-3289810,223880463,-64587149,4.55101345756999,52.1908733947902,-0.322883981772196
442.46,435,12204,13578,10983600,10129188,2023-08-08,2023-11-17,450.71,1374,-854412,188201271,-23914286,5.38210392851173,31.0666674509334,-0.0843514800988984
436.48,430,14313,14958,11521965,9692784,2023-08-08,2023-11-17,450.71,645,-1829181,188201271,-23914286,5.15022239143114,36.2168898423646,-0.188715749778392
416.39,415,68746,69721,14092930,9691219,2023-08-08,2023-09-15,450.71,975,-4401711,560989430,-200543013,1.72752256669078,63.1766341836423,-0.454195803438143
465.65,458,12620,12628,14462520,9660420,2023-08-08,2023-08-18,450.71,8,-4802100,231441865,-174474179,4.17401579441991,46.800406659357,-0.497090188625339
459.16,454,18381,18393,15384897,9490788,2023-08-08,2023-08-18,450.71,12,-5894109,231441865,-174474179,4.10072222672419,50.9011288860812,-0.621034733891432
469.3,460,10107,10085,13401882,9379050,2023-08-08,2023-08-18,450.71,-22,-4022832,231441865,-174474179,4.05244314808818,54.9535720341694,-0.428916787947607
433.7,429,999,19880,594405,9343600,2023-08-08,2023-10-20,450.71,18881,8749195,374395104,-66220249,2.49565229357273,67.2762203108297,0.936383727899311
448.08,442,15499,15112,11608751,9188096,2023-08-08,2023-09-29,450.71,-387,-2420655,223880463,-64587149,4.10401866999891,56.2948920647891,-0.263455562501741
447.67,443,19552,19657,12806560,9179819,2023-08-08,2023-09-15,450.71,105,-3626741,560989430,-200543013,1.63636220382976,64.812996387472,-0.395077615364747
483.04,465,4986,5028,10470600,9070512,2023-08-08,2023-11-17,450.71,42,-1400088,188201271,-23914286,4.8195806286558,41.0364704710204,-0.154356005482381
351.7,350,51926,51944,10540978,8830480,2023-08-08,2023-12-15,450.71,18,-1710498,454663704,-61357874,1.94220033891247,52.3652805151123,-0.193703853018182
439.35,436,25330,25574,12082410,8567290,2023-08-08,2023-09-15,450.71,244,-3515120,560989430,-200543013,1.52717494160273,66.3401713290748,-0.410295437647144
441.09,440,75458,77523,17279882,8450007,2023-08-08,2023-08-18,450.71,2065,-8829875,231441865,-174474179,3.65102787259341,58.6045999067628,-1.04495475565878
409.61,405,18189,18223,10131273,8400803,2023-08-08,2023-12-15,450.71,34,-1730470,454663704,-61357874,1.84769598410697,54.2129764992193,-0.205988641800076
475.04,462,6426,6423,10320156,8375592,2023-08-08,2023-09-15,450.71,-3,-1944564,560989430,-200543013,1.49300353127866,67.8331748603534,-0.232170334944682
448.44,440,10136,9886,10318448,8343784,2023-08-08,2023-11-17,450.71,-250,-1974664,188201271,-23914286,4.43343658396441,45.4699070549848,-0.236662885808166
403.14,400,20138,26428,7793406,8298392,2023-08-08,2023-11-17,450.71,6290,504986,188201271,-23914286,4.40931772453333,49.8792247795181,0.0608534761915321
471.16,458,5495,6155,8687595,8099980,2023-08-08,2023-10-20,450.71,660,-587615,374395104,-66220249,2.16348448830143,69.4397047991311,-0.0725452408524466
420.82,415,13886,13880,9373050,8078160,2023-08-08,2023-12-15,450.71,-6,-1294890,454663704,-61357874,1.77673298504602,55.9897094842653,-0.160295166225972
377.64,375,29602,29597,9147018,7813608,2023-08-08,2023-12-15,450.71,-5,-1333410,454663704,-61357874,1.7185466821429,57.7082561664082,-0.170652277411408
402.08,400,34593,37000,9340110,7696000,2023-08-08,2023-10-20,450.71,2407,-1644110,374395104,-66220249,2.05558243624895,71.4952872353801,-0.213631756756757
393.42,390,22222,22219,9088798,7598898,2023-08-08,2023-12-15,450.71,-3,-1489900,454663704,-61357874,1.67132276738765,59.3795789337959,-0.196067903530222
481.6,465,4474,4512,8925630,7489920,2023-08-08,2023-10-20,450.71,38,-1435710,374395104,-66220249,2.00053898140719,73.4958262167873,-0.191685625480646
385.55,385,141088,133976,11569216,7368680,2023-08-08,2023-09-15,450.71,-7112,-4200536,560989430,-200543013,1.31351494447944,69.1466898048329,-0.570052709576206
455.12,450,13579,14154,10265724,7246848,2023-08-08,2023-09-01,450.71,575,-3018876,82091235,-31949315,8.82779751090357,8.82779751090357,-0.416577800445104
450.56,448,24637,27795,11628664,7115520,2023-08-08,2023-08-18,450.71,3158,-4513144,231441865,-174474179,3.07443080792665,61.6790307146894,-0.634267629069977
391.62,390,29611,43907,6218310,7112934,2023-08-08,2023-10-20,450.71,14296,894624,374395104,-66220249,1.89984695953716,75.3956731763244,0.125774258554909
433.65,430,24095,19204,11710170,7009460,2023-08-08,2023-09-29,450.71,-4891,-4700710,223880463,-64587149,3.13089400748649,59.4257860722756,-0.670623699971182
381.3,380,52844,53630,8983480,6971900,2023-08-08,2023-10-20,450.71,786,-2011580,374395104,-66220249,1.86217712932485,77.2578503056493,-0.288526800441773
419.69,418,41047,41083,9481857,6943027,2023-08-08,2023-09-15,450.71,36,-2538830,560989430,-200543013,1.23763953983946,70.3843293446723,-0.365666156850607
456.05,452,15694,17131,10577756,6938055,2023-08-08,2023-08-18,450.71,1437,-3639701,231441865,-174474179,2.99775280500786,64.6767835196973,-0.524599617616176
451.41,446,12325,12767,9145150,6906947,2023-08-08,2023-09-15,450.71,442,-2238203,560989430,-200543013,1.23120804611238,71.6155373907847,-0.324050988084895
434.77,432,24563,24833,9874326,6878741,2023-08-08,2023-09-15,450.71,270,-2995585,560989430,-200543013,1.22618014389326,72.841717534678,-0.43548448764098
437.06,434,22326,22428,9778788,6862968,2023-08-08,2023-09-15,450.71,102,-2915820,560989430,-200543013,1.22336850446541,74.0650860391434,-0.424862829026742
431.42,429,7468,28104,2651140,6801168,2023-08-08,2023-09-15,450.71,20636,4150028,560989430,-200543013,1.21235225412358,75.277438293267,0.610193425599838
454.01,448,9446,11109,7641814,6676509,2023-08-08,2023-09-15,450.71,1663,-965305,560989430,-200543013,1.19013097982969,76.4675692730966,-0.144582295927408
465.09,454,5821,5939,7968949,6586351,2023-08-08,2023-10-20,450.71,118,-1382598,374395104,-66220249,1.75919795147749,79.0170482571268,-0.209918663612067
467.88,456,5499,5517,8061534,6554196,2023-08-08,2023-10-20,450.71,18,-1507338,374395104,-66220249,1.75060943104641,80.7676576881732,-0.229980610894151
437.68,431,9787,9799,7369611,6545732,2023-08-08,2023-11-17,450.71,12,-823879,188201271,-23914286,3.4780487747078,53.3572735542259,-0.125865067497417
362,360,31089,31113,7523538,6222600,2023-08-08,2023-12-15,450.71,24,-1300938,454663704,-61357874,1.36861595620133,60.7481948899972,-0.20906662809758
461.61,455,6278,9408,6039436,6218688,2023-08-08,2023-08-25,450.71,3130,179252.000000001,80658815,-28423940,7.70986779312342,7.70986779312342,0.028824729589264
452.43,442,5834,5854,6510744,6105722,2023-08-08,2023-12-15,450.71,20,-405022,454663704,-61357874,1.3429094837093,62.0911043737065,-0.0663348249396222
396.83,395,33082,33247,7972762,6084201,2023-08-08,2023-10-20,450.71,165,-1888561,374395104,-66220249,1.62507493687738,82.3927326250506,-0.310404110580831
407.37,405,17829,25552,5473503,6055824,2023-08-08,2023-10-20,450.71,7723,582321.000000001,374395104,-66220249,1.61749551083873,84.0102281358893,0.0961588381696695
430.45,430,132964,133728,13163436,6017760,2023-08-08,2023-08-18,450.71,764,-7145676,231441865,-174474179,2.60011731239722,67.2769008320945,-1.18743120363723
442.98,439,15326,15115,8459952,6015770,2023-08-08,2023-09-15,450.71,-211,-2444182,560989430,-200543013,1.07234997279717,77.5399192458938,-0.406295785909368
425.06,420,11120,11235,6783200,5684910,2023-08-08,2023-11-17,450.71,115,-1098290,188201271,-23914286,3.02065441417768,56.3779279684036,-0.193193911601063
452.76,447,9199,9789,7129225,5638464,2023-08-08,2023-09-15,450.71,590,-1490761,560989430,-200543013,1.00509273410018,78.545011979994,-0.264391330688641
501.28,475,2131,2145,6158590,5637060,2023-08-08,2023-12-15,450.71,14,-521529.999999998,454663704,-61357874,1.23983065954172,63.3309350332482,-0.0925180856687703
398.81,395,14504,14499,6570312,5524119,2023-08-08,2023-12-15,450.71,-5,-1046193,454663704,-61357874,1.21499010178301,64.5459251350312,-0.189386398084473
465.35,455,5254,5276,6788168,5460660,2023-08-08,2023-09-29,450.71,22,-1327508,223880463,-64587149,2.43909626004302,61.8648823323186,-0.24310394714192
448.05,446,23692,25999,9382032,5329795,2023-08-08,2023-08-18,450.71,2307,-4052237,231441865,-174474179,2.30286555978107,69.5797663918756,-0.760298848267147
477.62,462,3402,3396,6058962,5304552,2023-08-08,2023-10-20,450.71,-6,-754410,374395104,-66220249,1.41683263037542,85.4270607662647,-0.142219361785877
