strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry.td,diff_oi,diff_oi_d,pct
195,17,17,4218.72,4218.72,2023-07-21,2023-08-18,0,0,0
200,22,27,5515.84,6834.24,2023-07-21,2023-08-18,5,1318.4,0.192910989371166
205,1,1,239.59,239.59,2023-07-21,2023-08-18,0,0,0
210,1,1,228.73,228.73,2023-07-21,2023-08-18,0,0,0
215,4,4,901.2,901.2,2023-07-21,2023-08-18,0,0,0
220,1,1,224.91,224.91,2023-07-21,2023-08-18,0,0,0
225,2,2,433.76,433.76,2023-07-21,2023-08-18,0,0,0
230,3,3,630.72,630.72,2023-07-21,2023-08-18,0,0,0
235,1,1,214.44,214.44,2023-07-21,2023-08-18,0,0,0
240,0,0,0,0,2023-07-21,2023-08-18,0,0,
245,0,0,0,0,2023-07-21,2023-08-18,0,0,
250,12,12,2300.76,2300.76,2023-07-21,2023-08-18,0,0,0
255,4,4,784.12,784.12,2023-07-21,2023-08-18,0,0,0
260,2,2,370.08,370.08,2023-07-21,2023-08-18,0,0,0
265,0,0,0,0,2023-07-21,2023-08-18,0,0,
270,8,8,1421.52,1421.52,2023-07-21,2023-08-18,0,0,0
275,1,1,180.62,180.62,2023-07-21,2023-07-28,0,0,0
275,1,3,180.62,515.34,2023-07-21,2023-08-04,2,334.72,0.649512942911476
275,1,9,180.62,1628.46,2023-07-21,2023-08-18,8,1447.84,0.889085393562016
275,1,1,180.62,178.35,2023-07-21,2023-08-25,0,-2.27000000000001,-0.0127277824502384
275,3,1,515.34,180.62,2023-07-21,2023-07-28,-2,-334.72,-1.85317240615657
275,3,3,515.34,515.34,2023-07-21,2023-08-04,0,0,0
275,3,9,515.34,1628.46,2023-07-21,2023-08-18,6,1113.12,0.683541505471427
275,3,1,515.34,178.35,2023-07-21,2023-08-25,-2,-336.99,-1.88948696383516
275,9,1,1628.46,180.62,2023-07-21,2023-07-28,-8,-1447.84,-8.01594507806445
275,9,3,1628.46,515.34,2023-07-21,2023-08-04,-6,-1113.12,-2.15997205728257
