strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry.td,diff_oi,diff_oi_d,pct
195,9243,9243,92.43,92.43,2023-07-21,2023-08-18,0,0,0
200,6885,6885,68.85,68.85,2023-07-21,2023-08-18,0,0,0
205,2281,2281,22.81,22.81,2023-07-21,2023-08-18,0,0,0
210,2495,2495,24.95,24.95,2023-07-21,2023-08-18,0,0,0
215,3989,3989,39.89,39.89,2023-07-21,2023-08-18,0,0,0
220,1054,1054,10.54,10.54,2023-07-21,2023-08-18,0,0,0
225,1190,1190,23.8,23.8,2023-07-21,2023-08-18,0,0,0
230,1237,1237,12.37,12.37,2023-07-21,2023-08-18,0,0,0
235,1302,1302,13.02,13.02,2023-07-21,2023-08-18,0,0,0
240,1057,1064,10.57,10.64,2023-07-21,2023-08-18,7,0.0700000000000003,0.00657894736842108
245,1260,1260,25.2,25.2,2023-07-21,2023-08-18,0,0,0
250,11466,11466,114.66,229.32,2023-07-21,2023-08-18,0,114.66,0.5
255,3732,3732,74.64,74.64,2023-07-21,2023-08-18,0,0,0
260,10212,10216,102.12,102.16,2023-07-21,2023-08-18,4,0.039999999999992,0.000391542678151841
265,4288,4288,85.76,85.76,2023-07-21,2023-08-18,0,0,0
270,1829,1829,36.58,18.29,2023-07-21,2023-08-18,0,-18.29,-1
275,832,832,16.64,16.64,2023-07-21,2023-07-28,0,0,0
275,832,751,16.64,7.51,2023-07-21,2023-08-04,-81,-9.13,-1.21571238348868
275,832,4574,16.64,91.48,2023-07-21,2023-08-18,3742,74.84,0.818102317446436
275,832,24,16.64,0.72,2023-07-21,2023-08-25,-808,-15.92,-22.1111111111111
275,751,832,7.51,16.64,2023-07-21,2023-07-28,81,9.13,0.548677884615385
275,751,751,7.51,7.51,2023-07-21,2023-08-04,0,0,0
275,751,4574,7.51,91.48,2023-07-21,2023-08-18,3823,83.97,0.917905553126366
275,751,24,7.51,0.72,2023-07-21,2023-08-25,-727,-6.79,-9.43055555555556
275,4574,832,91.48,16.64,2023-07-21,2023-07-28,-3742,-74.84,-4.49759615384615
275,4574,751,91.48,7.51,2023-07-21,2023-08-04,-3823,-83.97,-11.1810918774967
275,4574,4574,91.48,91.48,2023-07-21,2023-08-18,0,0,0
275,4574,24,91.48,0.72,2023-07-21,2023-08-25,-4550,-90.76,-126.055555555556
275,24,832,0.72,16.64,2023-07-21,2023-07-28,808,15.92,0.956730769230769
275,24,751,0.72,7.51,2023-07-21,2023-08-04,727,6.79,0.904127829560586
275,24,4574,0.72,91.48,2023-07-21,2023-08-18,4550,90.76,0.992129427197202
275,24,24,0.72,0.72,2023-07-21,2023-08-25,0,0,0
280,434,434,4.34,4.34,2023-07-21,2023-07-28,0,0,0
280,434,107,4.34,1.07,2023-07-21,2023-08-04,-327,-3.27,-3.05607476635514
280,434,6168,4.34,185.04,2023-07-21,2023-08-18,5734,180.7,0.976545611759619
280,434,27,4.34,1.08,2023-07-21,2023-08-25,-407,-3.26,-3.01851851851852
280,107,434,1.07,4.34,2023-07-21,2023-07-28,327,3.27,0.753456221198157
280,107,107,1.07,1.07,2023-07-21,2023-08-04,0,0,0
280,107,6168,1.07,185.04,2023-07-21,2023-08-18,6061,183.97,0.994217466493731
280,107,27,1.07,1.08,2023-07-21,2023-08-25,-80,0.01,0.00925925925925927
280,6168,434,123.36,4.34,2023-07-21,2023-07-28,-5734,-119.02,-27.4239631336406
280,6168,107,123.36,1.07,2023-07-21,2023-08-04,-6061,-122.29,-114.289719626168
280,6168,6168,123.36,185.04,2023-07-21,2023-08-18,0,61.68,0.333333333333333
280,6168,27,123.36,1.08,2023-07-21,2023-08-25,-6141,-122.28,-113.222222222222
280,25,434,0.75,4.34,2023-07-21,2023-07-28,409,3.59,0.827188940092166
280,25,107,0.75,1.07,2023-07-21,2023-08-04,82,0.32,0.299065420560748
280,25,6168,0.75,185.04,2023-07-21,2023-08-18,6143,184.29,0.99594682230869
280,25,27,0.75,1.08,2023-07-21,2023-08-25,2,0.33,0.305555555555556
285,1629,1629,16.29,16.29,2023-07-21,2023-07-28,0,0,0
285,1629,811,16.29,8.11,2023-07-21,2023-08-04,-818,-8.18,-1.00863131935882
285,1629,2735,16.29,54.7,2023-07-21,2023-08-18,1106,38.41,0.702193784277879
285,1629,29,16.29,1.16,2023-07-21,2023-08-25,-1600,-15.13,-13.0431034482759
285,811,1629,8.11,16.29,2023-07-21,2023-07-28,818,8.18,0.502148557397176
285,811,811,8.11,8.11,2023-07-21,2023-08-04,0,0,0
285,811,2735,8.11,54.7,2023-07-21,2023-08-18,1924,46.59,0.851736745886655
285,811,29,8.11,1.16,2023-07-21,2023-08-25,-782,-6.95,-5.99137931034483
285,2735,1629,54.7,16.29,2023-07-21,2023-07-28,-1106,-38.41,-2.35788827501535
285,2735,811,54.7,8.11,2023-07-21,2023-08-04,-1924,-46.59,-5.74475955610358
285,2735,2735,54.7,54.7,2023-07-21,2023-08-18,0,0,0
285,2735,29,54.7,1.16,2023-07-21,2023-08-25,-2706,-53.54,-46.1551724137931
285,29,1629,1.16,16.29,2023-07-21,2023-07-28,1600,15.13,0.928790669122161
285,29,811,1.16,8.11,2023-07-21,2023-08-04,782,6.95,0.856966707768187
285,29,2735,1.16,54.7,2023-07-21,2023-08-18,2706,53.54,0.978793418647166
285,29,29,1.16,1.16,2023-07-21,2023-08-25,0,0,0
290,902,902,9.02,9.02,2023-07-21,2023-07-28,0,0,0
290,902,4254,9.02,42.54,2023-07-21,2023-08-04,3352,33.52,0.787964268923366
290,902,11463,9.02,229.26,2023-07-21,2023-08-18,10561,220.24,0.960656023728518
290,902,0,9.02,0,2023-07-21,2023-08-25,-902,-9.02,-Inf
